dBeacon   dGTOD   dPcap   dBeacon-dGTOD  dBeacon-dPcap dGTOD-dPcap
204800   199836   204802   4964             -2      -4966
102400   109995   102390  -7595             10       7605
102400   100577   102402   1823             -2      -1825
102400    99890   102440   2510            -40      -2550
102400    99538   102374   2862             26      -2836
102399   110039   102427  -7640            -28       7612
204801   199957   204760   4844             41      -4803
102400    99981   102417   2419            -17      -2436
102400   110046   102409  -7646             -9       7637
102400    99998   102376   2402             24      -2378
102400   100009   102397   2391              3      -2388
102400   100006   102401   2394             -1      -2395
204800   209961   204798  -5161              2       5163
204800   200001   204798   4799              2      -4797
204800   210002   204823  -5202            -23       5179
102400   100078   102380   2322             20      -2302
102400    99919   102406   2481             -6      -2487
102415   110054   102421  -7639             -6       7633
102385    99948   102379   2437              6      -2431
102400   100033   102427   2367            -27      -2394
204800   200045   204802   4755             -2      -4757
102400   110047   102373  -7647             27       7674
102400    99918   102427   2482            -27      -2509
204800   199956   204779   4844             21      -4823
204800   210031   204796  -5231              4       5235
102400   103863   102406  -1463             -6       1457
102690    96077   102704   6613            -14      -6627
204510   210036   204492  -5526             18       5544
102400    99996   102402   2404             -2      -2406
102400    99994   102391   2406              9      -2397
102400   109966   102416  -7566            -16       7550
102509   100023   102508   2486              1      -2485
102291   100003   102286   2288              5      -2283
102400    99997   102396   2403              4      -2399
102400   110010   102413  -7610            -13       7597
102400    99988   102386   2412             14      -2398
409683   410017   409724   -334            -41        293
102317   100073   102298   2244             19      -2225
102400    99933   102391   2467              9      -2458
102400    99999   102400   2401                     -2401
102400   109994   102394  -7594              6       7600
307211   299997   307213   7214             -2      -7216
102389   110001   102389  -7612                      7612
102400    99971   102412   2429            -12      -2441
204800   200030   204795   4770              5      -4765
102439   110040   102458  -7601            -19       7582
102361   100003   102377   2358            -16      -2374
102400    99965   102391   2435              9      -2426
102400   100007   102379   2393             21      -2372
102400   110056   102387  -7656             13       7669
102400   102126   102417    274            -17       -291
102400    97830   102396   4570              4      -4566
204800   209990   204848  -5190            -48       5142
307200   300020   307178   7180             22      -7158
102400   109998   102422  -7598            -22       7576
102400    99991   102355   2409             45      -2364
102400    99985   102402   2415             -2      -2417
102400    99987   102393   2413              7      -2406
102400   100006   102409   2394             -9      -2403
204800   210058   204814  -5258            -14       5244
307200   309965   307189  -2765             11       2776
102400    99981   102415   2419            -15      -2434
102451   102092   102434    359             17       -342
102349    97881   102352   4468             -3      -4471
102400   110013   102385  -7613             15       7628
102400   100037   102407   2363             -7      -2370
102400    99960   102416   2440            -16      -2456
102400   100042   102402   2358             -2      -2360
102402   109998   102418  -7596            -16       7580
102398    99975   102377   2423             21      -2402
102400    99995   102390   2405             10      -2395
204800   210019   204814  -5219            -14       5205
102400    99974   102385   2426             15      -2411
102400   100064   102395   2336              5      -2331
204800   209974   204841  -5174            -41       5133
102400    99992   102384   2408             16      -2392
102400   100003   102423   2397            -23      -2420
102406   100264   102391   2142             15      -2127
102394    99786   102387   2608              7      -2601
102400   109994   102392  -7594              8       7602
102400   100072   102405   2328             -5      -2333
102400   100091   102415   2309            -15      -2324
102400    99768   102374   2632             26      -2606
102400   110028   102413  -7628            -13       7615
102400    99970   102383   2430             17      -2413
102400   100458   102424   1942            -24      -1966
102400    99529   102387   2871             13      -2858
102400   110031   102434  -7631            -34       7597
204800   199980   204768   4820             32      -4788
102400   100102   102401   2298             -1      -2299
102400   109928   102388  -7528             12       7540
102400    99963   102402   2437             -2      -2439
102400    99995   102442   2405            -42      -2447
102400   100007   102363   2393             37      -2356
102400   110028   102406  -7628             -6       7622
102400   100026   102397   2374              3      -2371
102400    99998   102407   2402             -7      -2409
102400    99990   102398   2410              2      -2408
102400   109991   102448  -7591            -48       7543
102400    99976   102350   2424             50      -2374
102400   100034   102419   2366            -19      -2385
204800   200022   204789   4778             11      -4767
102400   109967   102401  -7567             -1       7566
102400    99968   102392   2432              8      -2424
307200   310001   307190  -2801             10       2811
204800   200039   204806   4761             -6      -4767
102400    99962   102404   2438             -4      -2442
102400   109995   102401  -7595             -1       7594
102400   100029   102416   2371            -16      -2387
204800   199973   204782   4827             18      -4809
102400   109995   102393  -7595              7       7602
102400   100037   102409   2363             -9      -2372
204800   199986   204804   4814             -4      -4818
102400   110015   102400  -7615                      7615
102400    99975   102399   2425              1      -2424
102400    99974   102401   2426             -1      -2427
204800   210075   204873  -5275            -73       5202
204800   199973   204735   4827             65      -4762
102400    99978   102427   2422            -27      -2449
102400   100017   102373   2383             27      -2356
102400   109979   102406  -7579             -6       7573
102400   100036   102395   2364              5      -2359
102400    99972   102416   2428            -16      -2444
102400    99989   102390   2411             10      -2401
102400   110022   102385  -7622             15       7637
102400    99959   102413   2441            -13      -2454
102400   100079   102386   2321             14      -2307
102400    99941   102406   2459             -6      -2465
102400   110159   102405  -7759             -5       7754
102400    99846   102419   2554            -19      -2573
204800   199997   204779   4803             21      -4782
102400   109988   102395  -7588              5       7593
102400    99998   102402   2402             -2      -2404
102420   100010   102423   2410             -3      -2413
102380    99990   102387   2390             -7      -2397
102400   110025   102413  -7625            -13       7612
102400    99980   102388   2420             12      -2408
204800   200003   204809   4797             -9      -4806
102400   110037   102412  -7637            -12       7625
102400    99991   102375   2409             25      -2384
102400   100027   102421   2373            -21      -2394
102400   104839   102387  -2439             13       2452
