Beacon	GTOD	PCAP
-2121195136	-773013043	-773013671
-2121092736	-772903048	-772911281
-2120990336	-772802471	-772808879
-2120887936	-772702581	-772706439
-2120785536	-772603043	-772604065
-2120683137	-772493004	-772501638
-2120478336	-772293047	-772296878
-2120375936	-772193066	-772194461
-2120273536	-772083020	-772092052
-2120171136	-771983022	-771989676
-2120068736	-771883013	-771887279
-2119966336	-771783007	-771784878
-2119761536	-771573046	-771580080
-2119556736	-771373045	-771375282
-2119351936	-771163043	-771170459
-2119249536	-771062965	-771068079
-2119147136	-770963046	-770965673
-2119044721	-770852992	-770863252
-2118942336	-770753044	-770760873
-2118839936	-770653011	-770658446
-2118635136	-770452966	-770453644
-2118532736	-770342919	-770351271
-2118430336	-770243001	-770248844
-2118225536	-770043045	-770044065
-2118020736	-769833014	-769839269
-2117918336	-769729151	-769736863
-2117815646	-769633074	-769634159
-2117611136	-769423038	-769429667
-2117508736	-769323042	-769327265
-2117406336	-769223048	-769224874
-2117303936	-769113082	-769122458
-2117201427	-769013059	-769019950
-2117099136	-768913056	-768917664
-2116996736	-768813059	-768815268
-2116894336	-768703049	-768712855
-2116791936	-768603061	-768610469
-2116382253	-768193044	-768200745
-2116279936	-768092971	-768098447
-2116177536	-767993038	-767996056
-2116075136	-767893039	-767893656
-2115972736	-767783045	-767791262
-2115665525	-767483048	-767484049
-2115563136	-767373047	-767381660
-2115460736	-767273076	-767279248
-2115255936	-767073046	-767074453
-2115153497	-766963006	-766971995
-2115051136	-766863003	-766869618
-2114948736	-766763038	-766767227
-2114846336	-766663031	-766664848
-2114743936	-766552975	-766562461
-2114641536	-766450849	-766460044
-2114539136	-766353019	-766357648
-2114334336	-766143029	-766152800
-2114027136	-765843009	-765845622
-2113924736	-765733011	-765743200
-2113822336	-765633020	-765640845
-2113719936	-765533035	-765538443
-2113617536	-765433048	-765436050
-2113515136	-765333042	-765333641
-2113310336	-765122984	-765128827
-2113003136	-764813019	-764821638
-2112900736	-764713038	-764719223
-2112798285	-764610946	-764616789
-2112695936	-764513065	-764514437
-2112593536	-764403052	-764412052
-2112491136	-764303015	-764309645
-2112388736	-764203055	-764207229
-2112286336	-764103013	-764104827
-2112183934	-763993015	-764002409
-2112081536	-763893040	-763900032
-2111979136	-763793045	-763797642
